No,provinsi,UpahMinimum,kecamatan
1,ACEH,3685616,BAKONGAN
1,ACEH,3685616,KLUET UTARA
1,ACEH,3685616,KLUET SELATAN
1,ACEH,3685616,LABUHAN HAJI
1,ACEH,3685616,MEUKEK
1,ACEH,3685616,SAMADUA
1,ACEH,3685616,SAWANG
1,ACEH,3685616,TAPAKTUAN
1,ACEH,3685616,TRUMON
1,ACEH,3685616,PASI RAJA
1,ACEH,3685616,LABUHAN HAJI TIMUR
1,ACEH,3685616,LABUHAN HAJI BARAT
1,ACEH,3685616,KLUET TENGAH
1,ACEH,3685616,KLUET TIMUR
1,ACEH,3685616,BAKONGAN TIMUR
1,ACEH,3685616,TRUMON TIMUR
1,ACEH,3685616,KOTA BAHAGIA
1,ACEH,3685616,TRUMON TENGAH
1,ACEH,3685616,LAWE ALAS
1,ACEH,3685616,LAWE SIGALA-GALA
1,ACEH,3685616,BAMBEL
1,ACEH,3685616,BABUSSALAM
1,ACEH,3685616,BADAR
1,ACEH,3685616,BABUL MAKMUR
1,ACEH,3685616,DARUL HASANAH
1,ACEH,3685616,LAWE BULAN
1,ACEH,3685616,BUKIT TUSAM
1,ACEH,3685616,SEMADAM
1,ACEH,3685616,BABUL RAHMAH
1,ACEH,3685616,KETAMBE
1,ACEH,3685616,DELENG POKHKISEN
1,ACEH,3685616,LAWE SUMUR
1,ACEH,3685616,TANOH ALAS
1,ACEH,3685616,LEUSER
1,ACEH,3685616,DARUL AMAN
1,ACEH,3685616,JULOK
1,ACEH,3685616,IDI RAYEUK
1,ACEH,3685616,BIREM BAYEUN
1,ACEH,3685616,SERBAJADI
1,ACEH,3685616,NURUSSALAM
1,ACEH,3685616,PEUREULAK
1,ACEH,3685616,RANTAU SELAMAT
1,ACEH,3685616,SIMPANG ULIM
1,ACEH,3685616,RANTAU PEUREULAK
1,ACEH,3685616,PANTE BIDARI
1,ACEH,3685616,MADAT
1,ACEH,3685616,INDRA MAKMU
1,ACEH,3685616,IDI TUNONG
1,ACEH,3685616,BANDA ALAM
1,ACEH,3685616,PEUDAWA
1,ACEH,3685616,PEUREULAK TIMUR
1,ACEH,3685616,PEUREULAK BARAT
1,ACEH,3685616,SUNGAI RAYA
1,ACEH,3685616,SIMPANG JERNIH
1,ACEH,3685616,DARUL IHSAN
1,ACEH,3685616,DARUL FALAH
1,ACEH,3685616,IDI TIMUR
1,ACEH,3685616,PEUNARON
1,ACEH,3685616,LINGE
1,ACEH,3685616,SILIH NARA
1,ACEH,3685616,BEBESEN
1,ACEH,3685616,PEGASING
1,ACEH,3685616,BINTANG
1,ACEH,3685616,KETOL
1,ACEH,3685616,KEBAYAKAN
1,ACEH,3685616,KUTE PANANG
1,ACEH,3685616,CELALA
1,ACEH,3685616,LAUT TAWAR
1,ACEH,3685616,ATU LINTANG
1,ACEH,3685616,JAGONG JEGET
1,ACEH,3685616,BIES
1,ACEH,3685616,RUSIP ANTARA
1,ACEH,3685616,JOHAN PAHWALAN
1,ACEH,3685616,KAWAY XVI
1,ACEH,3685616,SUNGAI MAS
1,ACEH,3685616,WOYLA
1,ACEH,3685616,SAMATIGA
1,ACEH,3685616,BUBON
1,ACEH,3685616,ARONGAN LAMBALEK
1,ACEH,3685616,PANTE CEUREUMEN
1,ACEH,3685616,MEUREUBO
1,ACEH,3685616,WOYLA BARAT
