title,price,location,link,kabupaten,UpahMinimum,provinsi
Rumah Halaman Luas di Kasturi Bintaro Jaya Sektor 9,6500000000,Tangerang Selatan Bintaro,https://www.rumah123.com/properti/tangerang-selatan-bintaro/rumah-halaman-luas-di-kasturi-bintaro-jaya-sektor-9-hos39095854/,KOTA TANGERANG SELATAN,2905119,BANTEN
Dijual Rumah Nyaman Akses Mudah Dekat Tol dan Mall di Bogor,2000000000,Bogor Sentul City,https://www.rumah123.com/properti/bogor-sentul-city/dijual-rumah-nyaman-akses-mudah-dekat-tol-dan-mall-di-bogor-hos40526038/,KOTA BOGOR,2191232,JAWA BARAT
Rumah Feronia 180mtr Dan 160,2750000000,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/rumah-feronia-180mtr-dan-160-hos13355404/,KAB. TANGERANG,2905119,BANTEN
"Sutera Victoria Palma 5,3M NEGO",5350000000,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/sutera-victoria-palma-53m-nego-hos16250602/,KAB. TANGERANG,2905119,BANTEN
Podomoro Golf View,375000000,Depok,https://www.rumah123.com/perumahan-baru/properti/depok/podomoro-golf-view/nps1906/,KOTA DEPOK,2191232,JAWA BARAT
Akasa Pure Living - BSD City,422000000,Tangerang,https://www.rumah123.com/perumahan-baru/properti/tangerang/akasa-pure-living-bsd-city/nps1756/,KAB. TANGERANG,2905119,BANTEN
Socia Garden Karawang,535000000,Karawang,https://www.rumah123.com/perumahan-baru/properti/karawang/socia-garden-karawang/nps3643/,KAB. KARAWANG,2191232,JAWA BARAT
Podomoro Park Bandung,900000000,Bandung,https://www.rumah123.com/perumahan-baru/properti/bandung/podomoro-park-bandung/nps1697/,KAB. BANDUNG,2191232,JAWA BARAT
Parkland Podomoro,900000000,Karawang,https://www.rumah123.com/perumahan-baru/properti/karawang/parkland-podomoro/nps3227/,KAB. KARAWANG,2191232,JAWA BARAT
Orchard Park Batam,980000000,Batam,https://www.rumah123.com/perumahan-baru/properti/batam/orchard-park-batam/nps2746/,KOTA BATAM,3623654,KEPULAUAN RIAU
Green Bamboo Terrace,1200000000,Bogor,https://www.rumah123.com/perumahan-baru/properti/bogor/green-bamboo-terrace/nps3024/,KOTA BOGOR,2191232,JAWA BARAT
Aksara Homes,1400000000,Tangerang Selatan,https://www.rumah123.com/perumahan-baru/properti/tangerang-selatan/aksara-homes/nps3555/,KOTA TANGERANG SELATAN,2905119,BANTEN
Sutera Feronia Kirana Jelita Gardenia,1750000000,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/sutera-feronia-kirana-jelita-gardenia-hos18345996/,KAB. TANGERANG,2905119,BANTEN
Permata Regency,305000000,Klaten,https://www.rumah123.com/perumahan-baru/properti/klaten/permata-regency/nps7627/,KAB. KLATEN,2169349,JAWA TENGAH
Rumah 2 Lantai Full Renovasi Alicante Gading Serpong Bsd City Tangerang Banten,4200000000,Tangerang Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-2-lantai-full-renovasi-alicante-gading-serpong-bsd-city-tangerang-banten-hos40841484/,KAB. TANGERANG,2905119,BANTEN
PURI MAS RESIDENCE BUNTALAN,445000000,Klaten,https://www.rumah123.com/perumahan-baru/properti/klaten/puri-mas-residence-buntalan/nps7581/,KAB. KLATEN,2169349,JAWA TENGAH
SUTERA PALMYRA TERMURAH 200MTR,3900000000,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/sutera-palmyra-termurah-200mtr-hos14729829/,KAB. TANGERANG,2905119,BANTEN
Rumah 2 Lantai Full Renovasi Trimezia Gading Serpong BSD City Tangerang Banten,3300000000,Tangerang Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-2-lantai-full-renovasi-trimezia-gading-serpong-bsd-city-tangerang-banten-hos39744658/,KAB. TANGERANG,2905119,BANTEN
Rumah 2 Lantai Full Renovasi Bohemia Gading Serpong BSD City Tangerang Banten,2500000000,Tangerang Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-2-lantai-full-renovasi-bohemia-gading-serpong-bsd-city-tangerang-banten-hos40075006/,KAB. TANGERANG,2905119,BANTEN
Orchard Kos Tembalang,3850000000,Semarang,https://www.rumah123.com/perumahan-baru/properti/semarang/orchard-kos-tembalang/nps7582/,KAB. SEMARANG,2169349,JAWA TENGAH
Sutera Palma 240 dan 200 Termurahh,4500000000,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/sutera-aurora-240-termurahh-hos16272110/,KAB. TANGERANG,2905119,BANTEN
"Sutera Leora 3,1M",3100000000,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/sutera-leora-31m-hos18270281/,KAB. TANGERANG,2905119,BANTEN
Bandung City View 2,883000000,Bandung,https://www.rumah123.com/perumahan-baru/properti/bandung/bandung-city-view-2/nps7583/,KAB. BANDUNG,2191232,JAWA BARAT
Rumah Tinggal Perumahan Acropolis De Karadenan,406000000,Bogor Cibinong,https://www.rumah123.com/properti/bogor-cibinong/rumah-tinggal-perumahan-acropolis-de-karadenan-hos19498908/,KOTA BOGOR,2191232,JAWA BARAT
Rumah Tinggal Perumahan Duta Kranji,556000000,Bekasi Bekasi Barat,https://www.rumah123.com/properti/bekasi-bekasi-barat/rumah-tinggal-perumahan-duta-kranji-hos39369043/,KAB. BEKASI,2191232,JAWA BARAT
Rumah Tinggal De Green Grande,614000000,Bandung Buah Batu,https://www.rumah123.com/properti/bandung-buah-batu/rumah-tinggal-de-green-grande-hos19501727/,KAB. BANDUNG,2191232,JAWA BARAT
For Sale Rumah Mewah Kondisi Baru di Tengah Jaksel Dekat SCBD Jarang Ada,6900000000,Jakarta Selatan Senopati,https://www.rumah123.com/properti/jakarta-selatan-senopati/for-sale-rumah-mewah-kondisi-baru-di-tengah-jaksel-dekat-scbd-jarang-ada-hos39652266/,KAB. PATI,2169349,JAWA TENGAH
Rumah Tinggal Cluster Laurus Residence,396000000,Makassar Tamalate,https://www.rumah123.com/properti/makassar-tamalate/rumah-tinggal-cluster-laurus-residence-hos39032856/,KOTA MAKASSAR,3657527,SULAWESI SELATAN
Dijual Rumah Cantik Cluster Orlanda di Alam Sutra,6500000000,Tangerang Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-rumah-cantik-cluster-orlanda-di-alam-sutra-hos40852081/,KAB. TANGERANG,2905119,BANTEN
Rumah Tinggal BSD Puspitaloka,2920000000,Tangerang Selatan Serpong,https://www.rumah123.com/properti/tangerang-selatan-serpong/rumah-tinggal-bsd-puspitaloka-hos19501553/,KOTA TANGERANG SELATAN,2905119,BANTEN
Hunian Nyaman dan Baru Modern Minimalis 2 Kamar di Bandung,890000000,Bandung Batununggal,https://www.rumah123.com/properti/bandung-batununggal/hunian-nyaman-minimalis-2-kamar-di-bandung-hos40177567/,KAB. BANDUNG,2191232,JAWA BARAT
MALAYA,779000000,Bandung Barat,https://www.rumah123.com/perumahan-baru/properti/bandung-barat/malaya/nps7565/,KAB. BANDUNG BARAT,2191232,JAWA BARAT
Rumah Tinggal Harvest City Cluster Sakura Indica,334000000,Bekasi Setu,https://www.rumah123.com/properti/bekasi-setu/rumah-tinggal-harvest-city-cluster-sakura-indica-hos19567215/,KAB. BEKASI,2191232,JAWA BARAT
Rumah Tinggal Jalan Syarifuddin Yoes Perum Sepinggan Pratama,786000000,Balikpapan Balikpapan Selatan,https://www.rumah123.com/properti/balikpapan-balikpapan-selatan/rumah-tinggal-jalan-syarifuddin-yoes-perum-sepinggan-pratama-hos19501552/,KOTA BALIKPAPAN,3579313,KALIMANTAN TIMUR
GOLDEN PARK RESIDENCE,530000000,Klaten,https://www.rumah123.com/perumahan-baru/properti/klaten/golden-park-residence/nps7558/,KAB. KLATEN,2169349,JAWA TENGAH
Rumah Tinggal Komplek Halton Place,572000000,Medan Medan Denai,https://www.rumah123.com/properti/medan-medan-denai/rumah-tinggal-komplek-halton-place-hos19501977/,KOTA MEDAN,2992559,SUMATERA UTARA
Garden Avenue,1500000000,Batam,https://www.rumah123.com/perumahan-baru/properti/batam/garden-avenue/nps7527/,KOTA BATAM,3623654,KEPULAUAN RIAU
Rumah Nyaman dan Kokoh Dalam Komplek Gandul Cinere Deket Pangkalan Jati dan Andara,4500000000,Depok Cinere,https://www.rumah123.com/properti/depok-cinere/rumah-nyaman-dan-kokoh-dalam-komplek-gandul-cinere-deket-pangkalan-jati-dan-andara-hos40803662/,KOTA DEPOK,2191232,JAWA BARAT
Rumah Mungil Tapi Cantik di Pangkalan Jati - Lokasi Strategis,1900000000,Depok Pangkalan Jati,https://www.rumah123.com/properti/depok-pangkalan-jati/rumah-mungil-tapi-cantik-di-pangkalan-jati-lokasi-strategis-hos40924174/,KOTA DEPOK,2191232,JAWA BARAT
Rumah 3 lantai di Cluster Laurel Navapark BSD - Type 12 Corner / Hoek,18800000000,Tangerang Selatan Bsd,https://www.rumah123.com/properti/tangerang-selatan-bsd/laurel-navapark-bsd-type-12-corner-hoek-hos39923133/,KOTA TANGERANG SELATAN,2905119,BANTEN
