title,price,location,link,kabupaten_terdeteksi,kabupaten,UpahMinimum,provinsi
Rumah 2 Lantai Siap Huni Full Fasilitas di Bsd Tangerang Selatan.,10700000000,Tangerang Selatan Bsd,https://www.rumah123.com/properti/tangerang-selatan-bsd/rumah-2-lantai-siap-huni-full-fasilitas-di-bsd-tangerang-selatan-hos40873284/,KOTA TANGERANG SELATAN,KOTA TANGERANG SELATAN,2905119,BANTEN
"Rumah Siap Huni Dekat LRT, Bebas Banjir",51000000,Bekasi Jatibening,https://www.rumah123.com/properti/bekasi-jatibening/rumah-siap-huni-dekat-lrt-bebas-banjir-hos40791001/,KAB. BEKASI,KAB. BEKASI,2191232,JAWA BARAT
Rumah Siap Huni Dekat Stasiun Lrt,66000000,Bekasi Jatibening,https://www.rumah123.com/properti/bekasi-jatibening/rumah-siap-huni-dekat-stasiun-lrt-hos19004290/,KAB. BEKASI,KAB. BEKASI,2191232,JAWA BARAT
Dijual Rumah di Pasadena Grand Residence Gading Serpong,4500000000,Tangerang Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/dijual-rumah-di-pasadena-grand-residence-gading-serpong-hos40004028/,KAB. TANGERANG,KAB. TANGERANG,2905119,BANTEN
PURI MAS RESIDENCE BUNTALAN,21000000,Klaten,https://www.rumah123.com/perumahan-baru/properti/klaten/puri-mas-residence-buntalan/nps7581/,KAB. KLATEN,KAB. KLATEN,2169349,JAWA TENGAH
Rumah Mewah PIK Garden House Furnish Kolam Renang (450m),1300000000,Tangerang Bsd,https://www.rumah123.com/properti/tangerang-bsd/furnised-b-u-jual-rugi-th-ini-tmurah-pl-strategis-furnised-apa-adanya-399fully-furnished-barang-beli-baru-semua-449-hos2359452/,KAB. TANGERANG,KAB. TANGERANG,2905119,BANTEN
Di Jual Rumah Cluster Catalina Gading Serpong,5000000,Tangerang Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/di-jualrumah-carrillo-gading-serpong-hos39832334/,KAB. TANGERANG,KAB. TANGERANG,2905119,BANTEN
Bandung City View 2,6000000,Tangerang Bsd,https://www.rumah123.com/properti/tangerang-bsd/dijual-rumah-barand-new-di-nusa-loka-bsd-city-hos40848374/,KAB. TANGERANG,KAB. TANGERANG,2905119,BANTEN
Di Jual Rumah Mewah Golf Island Pik.,1400000000,Tangerang Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/di-jual-rumah-cluster-catalina-gading-serpong-hos40763773/,KAB. TANGERANG,KAB. TANGERANG,2905119,BANTEN
"Dijual Rumah Cantik Siap Huni di Nusa Loka, Bsd",6000000,Bandung,https://www.rumah123.com/perumahan-baru/properti/bandung/bandung-city-view-2/nps7583/,KAB. BANDUNG,KAB. BANDUNG,2191232,JAWA BARAT
Rumah Idaman Harapan Indah Ifolia Harga Murah di Timur Jakarta,6000000,Tangerang Bsd,https://www.rumah123.com/properti/tangerang-bsd/dijual-rumah-cantik-siap-huni-di-nusa-loka-bsd-hos40868317/,KAB. TANGERANG,KAB. TANGERANG,2905119,BANTEN
Rumah Impian 2 Lantai Bulevar Hijau Harapan Indah,7000000,Bekasi Harapan Indah,https://www.rumah123.com/properti/bekasi-harapan-indah/rumah-semi-cluster-harapan-indah-bangunan-baru-jadi-ready-3-unit-13623-fd-hos39838900/,KAB. BEKASI,KAB. BEKASI,2191232,JAWA BARAT
Rumah Mewah Cluster Asera Kota Harapan Indah (13686 Ad),4600000000,Bandung Barat,https://www.rumah123.com/perumahan-baru/properti/bandung-barat/malaya/nps7565/,KAB. BANDUNG BARAT,KAB. BANDUNG BARAT,2191232,JAWA BARAT
"Beli Rumah Dijual di Rumah123.com, Solusi Lengkap Untuk Punya Rumah Impian",28000000,Bekasi Harapan Indah,https://www.rumah123.com/properti/bekasi-harapan-indah/cluster-harapan-indah-rumah-full-furnish-siap-huni-baru-selesai-renovasi-hos40354526/,KAB. BEKASI,KAB. BEKASI,2191232,JAWA BARAT
Dijual Cepat Rumah Luas di Menaggio Gading Serpong,9000000,Tangerang Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/dijual-cepatrumah-luas-di-menaggio-gading-serpong-hos40704300/,KAB. TANGERANG,KAB. TANGERANG,2905119,BANTEN
Rumah Hoek Siap Huni di Cluster Mozart Symphonia Gading Serpong,12000000,Tangerang Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-hoek-siap-huni-di-cluster-mozart-symphonia-gading-serpong-hos40879642/,KAB. TANGERANG,KAB. TANGERANG,2905119,BANTEN
DIJUAL CEPAT!! Rumah Putih 2 Lantai Besar di Cluster Terdepan Boulevard Hijau Harapan Indah,6200000000,Bekasi Harapan Indah,https://www.rumah123.com/properti/bekasi-harapan-indah/dijual-cepat-rumah-putih-2-lantai-besar-di-cluster-terdepan-boulevard-hijau-harapan-indah-hos40064514/,KAB. BEKASI,KAB. BEKASI,2191232,JAWA BARAT
GOLDEN PARK RESIDENCE,29000000,Klaten,https://www.rumah123.com/perumahan-baru/properti/klaten/golden-park-residence/nps7558/,KAB. KLATEN,KAB. KLATEN,2169349,JAWA TENGAH
Dijual Cepat Rumah Siap Huni di Cluster Leonora Gading Serpong,3400000000,Bekasi Harapan Indah,https://www.rumah123.com/properti/bekasi-harapan-indah/dijual-rumah-mewah-2-lantai-luas-4-kamar-tidur-di-taman-harapan-baru-hos40494764/,KAB. BEKASI,KAB. BEKASI,2191232,JAWA BARAT
