No,provinsi,UpahMinimum,kecamatan
1,ACEH,3.685.616,BAKONGAN
1,ACEH,3.685.616,KLUET UTARA
1,ACEH,3.685.616,KLUET SELATAN
1,ACEH,3.685.616,LABUHAN HAJI
1,ACEH,3.685.616,MEUKEK
1,ACEH,3.685.616,SAMADUA
1,ACEH,3.685.616,SAWANG
1,ACEH,3.685.616,TAPAKTUAN
1,ACEH,3.685.616,TRUMON
1,ACEH,3.685.616,PASI RAJA
1,ACEH,3.685.616,LABUHAN HAJI TIMUR
1,ACEH,3.685.616,LABUHAN HAJI BARAT
1,ACEH,3.685.616,KLUET TENGAH
1,ACEH,3.685.616,KLUET TIMUR
1,ACEH,3.685.616,BAKONGAN TIMUR
1,ACEH,3.685.616,TRUMON TIMUR
1,ACEH,3.685.616,KOTA BAHAGIA
1,ACEH,3.685.616,TRUMON TENGAH
1,ACEH,3.685.616,LAWE ALAS
1,ACEH,3.685.616,LAWE SIGALA-GALA
1,ACEH,3.685.616,BAMBEL
1,ACEH,3.685.616,BABUSSALAM
1,ACEH,3.685.616,BADAR
1,ACEH,3.685.616,BABUL MAKMUR
1,ACEH,3.685.616,DARUL HASANAH
1,ACEH,3.685.616,LAWE BULAN
1,ACEH,3.685.616,BUKIT TUSAM
1,ACEH,3.685.616,SEMADAM
1,ACEH,3.685.616,BABUL RAHMAH
1,ACEH,3.685.616,KETAMBE
1,ACEH,3.685.616,DELENG POKHKISEN
1,ACEH,3.685.616,LAWE SUMUR
1,ACEH,3.685.616,TANOH ALAS
1,ACEH,3.685.616,LEUSER
1,ACEH,3.685.616,DARUL AMAN
1,ACEH,3.685.616,JULOK
1,ACEH,3.685.616,IDI RAYEUK
1,ACEH,3.685.616,BIREM BAYEUN
1,ACEH,3.685.616,SERBAJADI
1,ACEH,3.685.616,NURUSSALAM
1,ACEH,3.685.616,PEUREULAK
1,ACEH,3.685.616,RANTAU SELAMAT
1,ACEH,3.685.616,SIMPANG ULIM
1,ACEH,3.685.616,RANTAU PEUREULAK
1,ACEH,3.685.616,PANTE BIDARI
1,ACEH,3.685.616,MADAT
1,ACEH,3.685.616,INDRA MAKMU
1,ACEH,3.685.616,IDI TUNONG
1,ACEH,3.685.616,BANDA ALAM
1,ACEH,3.685.616,PEUDAWA
1,ACEH,3.685.616,PEUREULAK TIMUR
1,ACEH,3.685.616,PEUREULAK BARAT
1,ACEH,3.685.616,SUNGAI RAYA
1,ACEH,3.685.616,SIMPANG JERNIH
1,ACEH,3.685.616,DARUL IHSAN
1,ACEH,3.685.616,DARUL FALAH
1,ACEH,3.685.616,IDI TIMUR
1,ACEH,3.685.616,PEUNARON
1,ACEH,3.685.616,LINGE
1,ACEH,3.685.616,SILIH NARA
1,ACEH,3.685.616,BEBESEN
1,ACEH,3.685.616,PEGASING
1,ACEH,3.685.616,BINTANG
1,ACEH,3.685.616,KETOL
1,ACEH,3.685.616,KEBAYAKAN
1,ACEH,3.685.616,KUTE PANANG
1,ACEH,3.685.616,CELALA
1,ACEH,3.685.616,LAUT TAWAR
1,ACEH,3.685.616,ATU LINTANG
1,ACEH,3.685.616,JAGONG JEGET
1,ACEH,3.685.616,BIES
1,ACEH,3.685.616,RUSIP ANTARA
1,ACEH,3.685.616,JOHAN PAHWALAN
1,ACEH,3.685.616,KAWAY XVI
